timepoint,well,condition,condition_tag,Mg++ [mM],T7RNAP [ng/uL],ribosome [uM],DNA [nM],energy_mix,protein_mix,fluorescence [AU],background_fluorescence [AU],background_subtracted_fluorescence [AU],row,column
2,G:23,exp,exp,26,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1346448,1457017.25,-110569.25,G,23
2,I:1,exp,exp,4,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1438804,1457017.25,-18213.25,I,1
2,I:3,exp,exp,6,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1429582,1457017.25,-27435.25,I,3
2,I:5,exp,exp,8,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1503066,1457017.25,46048.75,I,5
2,I:7,exp,exp,10,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1639837,1457017.25,182819.75,I,7
2,I:9,exp,exp,12,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1438715,1457017.25,-18302.25,I,9
2,I:11,exp,exp,14,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1562460,1457017.25,105442.75,I,11
2,I:13,exp,exp,16,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1646119,1457017.25,189101.75,I,13
2,I:15,exp,exp,18,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1521709,1457017.25,64691.75,I,15
2,I:17,exp,exp,20,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1536883,1457017.25,79865.75,I,17
2,I:19,exp,exp,22,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1507350,1457017.25,50332.75,I,19
2,I:21,exp,exp,24,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1473049,1457017.25,16031.75,I,21
2,I:23,exp,exp,26,10,0.9,35,b.next eng mix,b.next prot mix 03-1,1412112,1457017.25,-44905.25,I,23
2,J:24,H2O,control,,,,0,H2O,H2O,1409940,1457017.25,-47077.25,J,24
2,J:18,NEB (+),control,,,,35,NEB SolA,NEB SolB,2427400,1457017.25,970382.75,J,18
2,J:12,NEB (-),control,,,,0,NEB SolA,NEB SolB,1627380,1457017.25,170362.75,J,12
2,J:6,ProtMix Control,control,,,,35,b.next eng mix,NEB SolB,1494255,1457017.25,37237.75,J,6
2,K:1,exp,exp,4,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1378725,1457017.25,-78292.25,K,1
2,K:3,exp,exp,6,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1453368,1457017.25,-3649.25,K,3
2,K:5,exp,exp,8,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1513727,1457017.25,56709.75,K,5
2,K:7,exp,exp,10,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1757085,1457017.25,300067.75,K,7
2,K:9,exp,exp,12,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1540450,1457017.25,83432.75,K,9
2,K:11,exp,exp,14,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1697826,1457017.25,240808.75,K,11
2,K:13,exp,exp,16,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1654414,1457017.25,197396.75,K,13
2,K:15,exp,exp,18,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1581395,1457017.25,124377.75,K,15
2,K:17,exp,exp,20,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1526476,1457017.25,69458.75,K,17
2,K:19,exp,exp,22,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1499678,1457017.25,42660.75,K,19
2,K:21,exp,exp,24,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1532163,1457017.25,75145.75,K,21
2,K:23,exp,exp,26,10,1.26,35,b.next eng mix,b.next prot mix 03-1,1403309,1457017.25,-53708.25,K,23
2,M:1,exp,exp,4,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1386755,1457017.25,-70262.25,M,1
2,M:3,exp,exp,6,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1418958,1457017.25,-38059.25,M,3
2,M:5,exp,exp,8,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1469702,1457017.25,12684.75,M,5
2,M:7,exp,exp,10,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1666119,1457017.25,209101.75,M,7
2,M:9,exp,exp,12,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1484017,1457017.25,26999.75,M,9
2,M:11,exp,exp,14,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1702765,1457017.25,245747.75,M,11
2,M:13,exp,exp,16,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1666470,1457017.25,209452.75,M,13
2,M:15,exp,exp,18,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1555703,1457017.25,98685.75,M,15
2,M:17,exp,exp,20,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1533571,1457017.25,76553.75,M,17
2,M:19,exp,exp,22,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1619501,1457017.25,162483.75,M,19
2,M:21,exp,exp,24,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1530095,1457017.25,73077.75,M,21
2,M:23,exp,exp,26,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1414162,1457017.25,-42855.25,M,23
2,N:24,NEB (+),control,,,,35,NEB SolA,NEB SolB,2739534,1457017.25,1282516.75,N,24
2,N:18,NEB (-),control,,,,0,NEB SolA,NEB SolB,1539881,1457017.25,82863.75,N,18
2,N:12,ProtMix Control,control,,,,35,b.next eng mix,NEB SolB,1484749,1457017.25,27731.75,N,12
2,N:6,H2O,control,,,,0,H2O,H2O,1454910,1457017.25,-2107.25,N,6
2,O:1,exp,exp,4,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1319746,1457017.25,-137271.25,O,1
2,O:3,exp,exp,6,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1401013,1457017.25,-56004.25,O,3
2,O:5,exp,exp,8,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1448380,1457017.25,-8637.25,O,5
2,O:7,exp,exp,10,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1719319,1457017.25,262301.75,O,7
2,O:9,exp,exp,12,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1626511,1457017.25,169493.75,O,9
2,O:11,exp,exp,14,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1626927,1457017.25,169909.75,O,11
2,O:13,exp,exp,16,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1524041,1457017.25,67023.75,O,13
